Name,Active substance,Amount of substance,Form,Prescription type
Sinecod,Butamirati citras 5 mg/ml,5 mg/ml,Krople doustne. roztwór,OTC
Hydroquenin,Hydroxychloroquinum 155 mg,200 mg,Tabletki powlekane,Rp
Artilla,Gestodenum 0.075 mg + Ethinylestradiolum 0.02 mg,0.075 mg + 0.020 mg,Tabletki drażowane,Rp
Beto 50 ZK,Metoprololi succinas 47.5 mg,47.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Hyaluroprol,Natrii hyaluronas 10 mg/ml,10 mg/ml,Roztwór do wstrzykiwań,Rp
Bactroban,Mupirocinum 20 mg/g,20 mg/g,Maść,Rp
Cilozek,Cilostazolum 100 mg,100 mg,Tabletki,Rp
Prestilol,Bisoprololi fumaras 5 mg + Perindoprilum argininum 10 mg,5 mg + 10 mg,Tabletki powlekane,Rp
Wellbutrin XR,Bupropioni hydrochloridum 150 mg,150 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Karbicombi,Candesartanum cilexetili 16 mg + Hydrochlorothiazidum 12.5 mg,16 mg + 12.5 mg,Tabletki,Rp
Karbicombi,Candesartanum cilexetili 32 mg + Hydrochlorothiazidum 12.5 mg,32 mg + 12.5 mg,Tabletki,Rp
Clatexo,Bilastinum 20 mg,20 mg,Tabletki,Rp
Letybo,Toxinum botulinicum typum A 50 j.,50 j.,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Wynzora,Calcipotriolum 50 mcg/g + Betamethasoni dipropionas 0.644 mg/g,(50 mcg + 0.5 mg)/g,Krem,Rp
Alikval,Vildagliptinum 50 mg,50 mg,Tabletki,Rp
Alikval Duo,Vildagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Alikval Duo,Vildagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Jeanine,Ethinylestradiolum 0.03 mg + Dienogestum 2 mg,0.03 mg + 2 mg,Tabletki drażowane,Rp
Oxybutynin Medice,Oxybutynini hydrochloridum 1 mg/ml,1 mg/ml,Roztwór do pęcherza moczowego,Rp
Abiraterone STADA,Abirateroni acetas 250 mg,250 mg,Tabletki powlekane,Rp
Abiraterone STADA,Abirateroni acetas 500 mg,500 mg,Tabletki powlekane,Rp
Mirena,Levonorgestrelum 52 mg. 20 mcg/24 h,52 mg. 20 mcg/24 h,System terapeutyczny domaciczny,Rp
Metoclopramide hameln,Metrocloprimidi hydrochloridum monohydricum 5.27 mg/ml,5 mg/ml,Roztwór do wstrzykiwań,Rp
Jamesi,Sitagliptini hydrochloridum monohydricum 56.688 mg + Metformini hydrochloridum 850 mg,56.688 mg + 850 mg,Tabletki powlekane,Rp
Jamesi,Sitagliptini hydrochloridum monohydricum 56.688 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Lapress,Lercanidipini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Lapress,Lercanidipini hydrochloridum 20 mg,20 mg,Tabletki powlekane,Rp
Tiotropium Elpen,Tiotropium 10 mcg/dawkę,10 mcg/dawkę inh.,Proszek do inhalacji,Rp
Amlodipine Medreg,Amlodipini besilas 6.935 mg,5 mg,Tabletki,Rp
Amlodipine Medreg,Amlodipini besilas 13.88 mg,10 mg,Tabletki,Rp
Erdosol Respiro,Erdosteinum 225 mg,225 mg,Tabletki,OTC
Tadalafil Aristo,Tadalafilum 5 mg,5 mg,Tabletki powlekane,Rp
Erdosol Muco,Erdosteinum 300 mg,300 mg,Tabletki,Rp
Tadalafil Aristo,Tadalafilum 10 mg,10 mg,Tabletki powlekane,Rp
Tadalafil Aristo,Tadalafilum 20 mg,20 mg,Tabletki powlekane,Rp
Itokin,Itopridi hydrochloridum 50 mg,50 mg,Tabletki powlekane,Rp
Dentinox N,Chamomillae tinctura 15 % + Lidocaini hydrochloridum 0.34 % + Lidocaini hydrochloridum 0.32 %,15 % + 0.34 % + 0.32 %,Żel do stosowania na dziąsła,OTC
Concor 5,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Concor Cor 5,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Candepres,Candesartanum cilexetili 16 mg,16 mg,Tabletki,Rp
Zinnat,Cefuroximum 500 mg,500 mg,Tabletki powlekane,Rp
Bibrocathol POS,Bibrocatholum 20 mg/g,20 mg/g,Maść do oczu,Rp
Icatibant Medical Valley,Icatibanti acetas 31.4 mg,30 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Icatibant Zentiva,Icatibantum 30 mg,30 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Izotek 10 mg,Isotretinoinum 10 mg,10 mg,Kapsułki miękkie,Rp
Oftaquix,Levofloxacinum 5 mg/ml,5 mg/ml,Krople do oczu. roztwór,Rp
Icatibant Fresenius,Icatibantum 30 mg,30 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Aspirin Pro,Acidum acetylsalicylicum 500 mg,500 mg,Tabletki drażowane,OTC
Orgametril,Lynestrenolum 5 mg,5 mg,Tabletki,Rp
Gripex Hot Intense,Paracetamolum 1000 mg + Coffeinum 50 mg + Phenylephrini hydrochloridum 12.2 mg,1000 mg + 50 mg + 12.2 mg,Proszek do sporządzania roztworu doustnego w saszetce,OTC
Sortis 10,Atorvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Sortis 20,Atorvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Sortis 40,Atorvastatinum 40 mg,40 mg,Tabletki powlekane,Rp
Sedam 6,Bromazepamum 6 mg,6 mg,Tabletki,Rp
Sedam 3,Bromazepamum 3 mg,3 mg,Tabletki,Rp
Mucoflav,Carbocisteinum 50 mg/ml,50 mg/ml,Syrop,OTC
Dionelle,Ethinylestradiolum 0.03 mg + Dienogestum 2 mg,0.03 mg + 2 mg,Tabletki powlekane,Rp
Uldiulan,Chlortalidonum 12.5 mg,12.5 mg,Tabletki,Rp
Novidin,Hydroxychloroquini sulphas 400 mg,400 mg,Tabletki powlekane,Rp
Bupropion Neuraxpharm,Bupropioni hydrochloridum 150 mg,150 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Lorinden A,Flumetasoni pivalas 0.2 mg/g + Acidum salicylicum 30 mg/g,0.2 mg/g + 30 mg/g,Maść,Rp
Gynoxin Optima,Fenticonazoli nitras 200 mg,200 mg,Kapsułki dopochwowe. miękkie,OTC
Broncho-Vaxom,Szczepionka wieloważna 3.5 mg,3.5 mg,Kapsułki twarde,Rp
Broncho-Vaxom,Szczepionka wieloważna 7 mg,7 mg,Kapsułki twarde,Rp
Tobrex,Tobramycinum 3 mg/g,3 mg/g,Maść do oczu,Rp
Uldiulan,Chlortalidonum 25 mg,25 mg,Tabletki,Rp
Uldiulan,Chlortalidonum 50 mg,50 mg,Tabletki,Rp
Wasedoc,Dabigatranum etexilatum 75 mg,75 mg,Kapsułki twarde,Rp
Wasedoc,Dabigatranum etexilatum 110 mg,110 mg,Kapsułki twarde,Rp
Wasedoc,Dabigatranum etexilatum 150 mg,150 mg,Kapsułki twarde,Rp
Paracetamol Polfa-Łódź,Paracetamolum 500 mg,500 mg,Tabletki,OTC
Symgliptin,Sitagliptini hydrochloridum monohydricum 28.344 mg,25 mg,Tabletki powlekane,Rp
Symgliptin,Sitagliptini hydrochloridum monohydricum 56.687 mg,50 mg,Tabletki powlekane,Rp
Symgliptin,Sitagliptini hydrochloridum monohydricum 113.374 mg,100 mg,Tabletki powlekane,Rp
Sagalix,Omeprazolum 10 mg,10 mg,Kapsułki dojelitowe. twarde,Rp
Sagalix,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,Rp
Sagalix,Omeprazolum 40 mg,40 mg,Kapsułki dojelitowe. twarde,Rp
Amylan ES,Amoxicillinum 600 mg/5 ml + Acidum clavulanicum 42.9 mg/5 ml,600 mg/5 ml + 42.9 mg/5 ml,Proszek do sporządzania zawiesiny doustnej,Rp
Abiraterone Vipharm,Abirateroni acetas 500 mg,500 mg,Tabletki powlekane,Rp
Dutazyr,Dutasteridum 0.5 mg,0.5 mg,Kapsułki miękkie,Rp
Bupropion Neuraxpharm,Bupropioni hydrochloridum 300 mg,300 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Rennie Extra,Calcii carbonas 625 mg + Magnesii subcarbonas ponderosus 73.5 mg + Acidum alginicum 150 mg,625 mg + 73.5 mg + 150 mg,Tabletki do żucia,OTC
Tullex,Methotrexatum 37.5 mg/ml,7.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,10 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,12.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,15 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,17.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,20 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,22.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Levocetirizine Hasco,Levocetirizini dihydrochloridum 0.5 mg/ml,0.5 mg/ml,Roztwór doustny,Rp
TIMOHEP,Timonacicum 100 mg,100 mg,Tabletki,Rp
Tatica,Abirateroni acetas 250 mg,250 mg,Tabletki powlekane,Rp
Tatica,Abirateroni acetas 500 mg,500 mg,Tabletki powlekane,Rp
Tullex,Methotrexatum 37.5 mg/ml,25 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,27.5 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Tullex,Methotrexatum 37.5 mg/ml,30 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Concor Cor 1.25,Bisoprololi fumaras 1.25 mg,1.25 mg,Tabletki powlekane,Rp
Sumamed,Azithromycinum 500 mg,500 mg,Tabletki powlekane,Rp
Orgametril,Lynestrenolum 5 mg,5 mg,Tabletki,Rp
Nexpram,Escitalopramum 10 mg,10 mg,Tabletki powlekane,Rp
Rosucard,Rosuvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Duphaston,Dydrogesteronum 10 mg,10 mg,Tabletki powlekane,Rp
Bisocard,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Sintrom,Acenocoumarolum 4 mg,4 mg,Tabletki,Rp
Karbicombi,Candesartanum cilexetili 32 mg + Hydrochlorothiazidum 25 mg,32 mg + 25 mg,Tabletki,Rp
Nurofen dla dzieci,Ibuprofenum 125 mg,125 mg,Czopki,OTC
Denicit,Cytisinum 1.5 mg,1.5 mg,Tabletki powlekane,OTC
Alpraxil,Alprazolamum 0.25 mg,0.25 mg,Tabletki,Rp
Alpraxil,Alprazolamum 0.5 mg,0.5 mg,Tabletki,Rp
Alpraxil,Alprazolamum 1 mg,1 mg,Tabletki,Rp
Otrivin Menthol,Xylometazolini hydrochloridum 1 mg/ml,1 mg/ml,Aerozol do nosa. roztwór,OTC
Tobrex,Tobramycinum 3 mg/ml,3 mg/ml,Krople do oczu. roztwór,Rp
Tobrex,Tobramycinum 3 mg/g,3 mg/g,Maść do oczu,Rp
Elocom,Mometasoni furoas 1 mg/g,1 mg/g,Maść,Rp
Orgametril,Lynestrenolum 5 mg,5 mg,Tabletki,Rp
Acyclovir Biofarm,Aciclovirum 200 mg,200 mg,Tabletki,OTC
Paracetamol + Codeine APAP,Paracetamolum 500 mg + Codeini phosphas hemihydricus 15 mg,500 mg + 15 mg,Tabletki powlekane,OTC
Solcoseryl,Bezbiałkowy dializat z krwi cieląt 2.125 mg/g + Polidocanolum 10 mg/g,(2.125 mg + 10 mg)/g,Pasta do stosowania w jamie ustnej,OTC
Zentel,Albendazolum 400 mg/20 ml,400 mg/20 ml,Zawiesina doustna,Rp
Cetraxal Plus,Ciprofloxacinum 3 mg/ml + Fluocinoloni acetonidum 0.25 mg/ml,3 mg/ml + 0.25 mg/ml,Krople do uszu. roztwór,Rp
Fervex,Paracetamolum 500 mg + Acidum ascorbicum 200 mg + Pheniramini maleas 25 mg,500 mg + 200 mg + 25 mg,Granulat do sporządzania roztworu doustnego,OTC
DiosMax,Diosminum 1000 mg,1000 mg,Tabletki powlekane,OTC
Ultrapiryna Fast C,Acidum acetylsalicylicum 500 mg + Acidum ascorbicum 250 mg,500 mg + 250 mg,Tabletki musujące,OTC
Starazolin redFREE,Tetryzolini hydrochloridum 0.5 mg/ml,0.5 mg/ml,Krople do oczu. roztwór,OTC
VICI,Acidum ascorbicum 100 mg/ml,100 mg/ml,Roztwór do wstrzykiwań,Rp
Migrenofen,Rizatriptani benzoas 14.53 mg,10 mg,Lamelki rozpadające się w jamie ustnej,Rp
Elocom,Mometasoni furoas 1 mg/g,1 mg/g,Krem,Rp
Betadine,Povidonum iodinatum 100 mg/g,100 mg/g,Maść,OTC
Xifaxan,Rifaximinum 200 mg,200 mg,Tabletki powlekane,Rp
Mucosolvan,Ambroxoli hydrochloridum 30 mg,30 mg,Tabletki,OTC
Levosert Easy,Levonorgestrelum 52 mg (20 mcg/24h),52 mg (20 mcg/24h),System terapeutyczny domaciczny,Rp
Ibuprofen Catalent,Ibuprofenum 200 mg,200 mg,Kapsułki miękkie,OTC
Ibuprofen Catalent,Ibuprofenum 400 mg,400 mg,Kapsułki miękkie,OTC
Tuxanuva,Dabigatranum etexilatum 75 mg,75 mg,Kapsułki twarde,Rp
Tuxanuva,Dabigatranum etexilatum 110 mg,110 mg,Kapsułki twarde,Rp
Tuxanuva,Dabigatranum etexilatum 150 mg,150 mg,Kapsułki twarde,Rp
Bilastine MSN,Bilastinum 20 mg,20 mg,Tabletki,Rp
Spironolactone Medreg,Spironolactonum 25 mg,25 mg,Tabletki powlekane,Rp
Dololibre,Naproxenum 50 mg/ml,50 mg/ml,Zawiesina doustna,Rp
Netenax,Netilmicini sulfas 3 mg/ml,3 mg/ml,Krople do oczu. roztwór,Rp
Netenax,Netilmicini sulfas 3 mg/ml,3 mg/ml,Krople do oczu. roztwór w pojemniku jednodawkowym,Rp
Agen 10,Amlodipinum 10 mg,10 mg,Tabletki,Rp
Karbicombi,Candesartanum cilexetili 32 mg + Hydrochlorothiazidum 12.5 mg,32 mg + 12.5 mg,Tabletki,Rp
Diclac 150 Duo,Diclofenacum natricum 150 mg,150 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Agen 5,Amlodipinum 5 mg,5 mg,Tabletki,Rp
Neosine Plus,Inosinum pranobexum 250 mg/5 ml + Zinci gluconas 10.89 mg/5 ml,(250 mg + 1.5625 mg Zn2+)/5 ml,Syrop,OTC
Aescin,Escinum 20 mg,20 mg,Tabletki dojelitowe,OTC
Doreta,Tramadoli hydrochloridum 75 mg + Paracetamolum 650 mg,75 mg + 650 mg,Tabletki powlekane,Rp
Histigen,Betahistini dihydrochloridum 8 mg,8 mg,Tabletki,Rp
Gynoxin Uno,Fenticonazoli nitras 600 mg,600 mg,Kapsułka dopochwowa. miękka,OTC
OlVit D3,Cholecalciferolum 14 400 IU/ml,14 400 IU/ml,Krople doustne. roztwór,Rp
Paracetamol + Methocarbamol APAP,Paracetamolum 300 mg + Methocarbamolum 380 mg,300 mg + 380 mg,Tabletki,Rp
Zentel,Albendazolum 400 mg,400 mg,Tabletki do rozgryzania i żucia,Rp
Duphaston,Dydrogesteronum 10 mg,10 mg,Tabletki powlekane,Rp
Vestibo,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki,Rp
Diprosalic,Betamethasoni dipropionas 0.64 mg/g + Acidum salicylicum 30 mg/g,(0.64 mg + 30 mg)/g,Maść,Rp
Enerzair Breezhaler,Indacaterolum 114 mcg + Glycopyrronii bromidum 46 mcg + Mometasoni furoas 136 mcg,114 mcg + 46 mcg + 136 mcg,Proszek do inhalacji w kapsułce twardej,Rp
Atectura Breezhaler,Indacaterolum 125 mcg + Mometasoni furoas 62.5 mcg,125 mcg + 62.5 mcg,Proszek do inhalacji w kapsułce twardej,Rp
Atectura Breezhaler,Indacaterolum 125 mcg + Mometasoni furoas 127.5 mcg,125 mcg + 127.5 mcg,Proszek do inhalacji w kapsułce twardej,Rp
Atectura Breezhaler,Indacaterolum 125 mcg + Mometasoni furoas 260 mcg,125 mcg + 260 mcg,Proszek do inhalacji w kapsułce twardej,Rp
Gripex Duo,Paracetamolum 500 mg + Phenylephrini hydrochloridum 6.1 mg,500 mg + 6.1 mg,Tabletki powlekane,OTC
Karbis,Candesartanum cilexetili 16 mg,16 mg,Tabletki,Rp
Biofenac,Aceclofenacum 100 mg,100 mg,Proszek do sporządzania zawiesiny doustnej,Rp
Lumeblue,Methylthioninii chloridum 25 mg,25 mg,Tabletki o przedłużonym uwalnianiu,Rp
Roxan,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Roxan,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
Roxan,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Eferox,Levothyroxinum natricum 0.075 mg,75 mcg,Tabletki,Rp
Eferox,Levothyroxinum natricum 0.125 mg,125 mcg,Tabletki,Rp
Eferox,Levothyroxinum natricum 0.15 mg,150 mcg,Tabletki,Rp
Fulvestrant Reddy,Fulvestrantum 250 mg,250 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Arthryl,Glucosamini sulfas 1500 mg,1500 mg,Proszek do sporządzania roztworu doustnego,Rp
Anesderm,Prilocainum 25 mg/g + Lidocainum 25 mg/g,(25 mg + 25 mg)/g,Krem,Rp
Fenistil,Dimetindeni maleas 1 mg/g,1 mg/g,Żel,OTC
Rosucard,Rosuvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Lucetam,Piracetamum 1200 mg,1200 mg,Tabletki powlekane,Rp
Alpragen,Alprazolamum 0.25 mg,0.25 mg,Tabletki,Rp
Logest,Gestodenum 0.075 mg + Ethinylestradiolum 0.02 mg,0.075 mg + 0.02 mg,Tabletki drażowane,Rp
Monural,Fosfomycinum 3 g,3 g,Granulat do sporządzania roztworu doustnego,Rp
Alpragen,Alprazolamum 0.5 mg,0.5 mg,Tabletki,Rp
Rosucard,Rosuvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Dentinox N,Chamomillae tinctura 15 % + Lidocaini hydrochloridum 0.34 % + Macrogoli aether laurilicus 0.32 %,15 % + 0.34 % + 0.32 %,Żel do stosowania na dziąsła,OTC
Diprogenta,Betamethasoni dipropionas 0.64 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 1 mg)/g,Maść,Rp
Belaristo,Solifenacini succinas 5 mg,5 mg,Tabletki powlekane,Rp
Belaristo,Solifenacini succinas 10 mg,10 mg,Tabletki powlekane,Rp
Triderm,Betamethasoni dipropionas 0.64 mg/g + Clotrimazolum 10 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 10 mg + 1 mg)/g,Krem,Rp
Diprogenta,Betamethasoni dipropionas 0.64 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 1 mg)/g,Krem,Rp
Calgel,Lidocaini hydrochloridum 3.3 mg/g + Cetylpyridinii chloridum 1 mg/g,(3.3 mg + 1 mg)/g,Żel do stosowania na dziąsła,OTC
Movalis,Meloxicamum 10 mg/ml,10 mg/ml (15 mg/1.5 ml),Roztwór do wstrzykiwań,Rp
Gerocilan,Tadalafilum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Gerocilan,Tadalafilum 5 mg,5 mg,Tabletki powlekane,Rp
Gerocilan,Tadalafilum 10 mg,10 mg,Tabletki powlekane,Rp
Gerocilan,Tadalafilum 20 mg,20 mg,Tabletki powlekane,Rp
Fokusin,Tamsulosini hydrochloridum 0.4 mg,0.4 mg,Kapsułki o zmodyfikowanym uwalnianiu. twarde,Rp
Prenessa,tert-Butylamini perindoprilum 4 mg,4 mg,Tabletki,Rp
Tobrex,Tobramycinum 3 mg/g,3 mg/g,Maść do oczu,Rp
OeparolMed Biotyna,Biotinum 10 mg,10 mg,Tabletki,OTC
Diprogenta,Betamethasoni dipropionas 0.64 mg/g + Gentamicinum 1 mg/g,(0.64 mg + 1 mg)/g,Maść,Rp
Alpragen,Alprazolamum 0.25 mg,0.25 mg,Tabletki,Rp
Fulvestrant medac,Fulvestrantum 250 mg/5ml,250 mg,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Daylette,Drospirenonum 3 mg + Ethinylestradiolum 0.02 mg,3 mg + 0.02 mg,Tabletki powlekane,Rp
Belara CONTI,Chlormadinoni acetas 2 mg + Ethinylestradiolum 0.03 mg,2 mg + 0.03 mg,Tabletki powlekane,Rp
VIXARGIO,Rivaroxabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
VIXARGIO,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
VIXARGIO,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
VIXARGIO,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Oxacilin Norameda,Oxacillinum natrium 1099.7 mg,1000 mg,Proszek do sporządzania roztworu do wstrzykiwań / do infuzji,Rp
Arprenessa,Perindoprilum argininum 5 mg,5 mg,Tabletki,Rp
Arprenessa,Perindoprilum argininum 10 mg,10 mg,Tabletki,Rp
Aspirin,Acidum acetylsalicylicum 500 mg,500 mg,Tabletki,OTC
Zylena,Olanzapinum 5 mg,5 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Zylena,Olanzapinum 10 mg,10 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Juzimette,Sitagliptinum 50 mg + Metformini hydrochloridum 850 mg,50 mg + 850 mg,Tabletki powlekane,Rp
Zylena,Olanzapinum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Juzimette,Sitagliptinum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki powlekane,Rp
Zylena,Olanzapinum 20 mg,20 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Inflanor Plus,Ibuprofenum 200 mg + Paracetamolum 500 mg,200 mg + 500 mg,Tabletki powlekane,OTC
Depepsit Met,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 500 mg,50 mg + 500 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Depepsit Met,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Depepsit Met,Sitagliptini hydrochloridum monohydricum 113.38 mg + Metformini hydrochloridum 1000 mg,100 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Sitagliptin + Metformin hydrochloride APC,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 500 mg,50 mg + 500 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Sitagliptin + Metformin hydrochloride APC,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
uroFuraginum Junior,Furazidinum 15 mg/ml,15 mg/ml,Proszek do sporządzania zawiesiny doustnej,Rp
Uromitexan,Mesnum 100 mg/ml,100 mg/ml,Roztwór do wstrzykiwań,Rp
Sitagliptin + Metformin hydrochloride APC,Sitagliptini hydrochloridum monohydricum 113.38 mg + Metformini hydrochloridum 1000 mg,100 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Co-Fineria,Sitagliptini hydrochloridum monohydricum 50 mg + Metformini hydrochloridum 500 mg,50 mg + 500 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Co-Fineria,Sitagliptini hydrochloridum monohydricum 50 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Co-Fineria,Sitagliptini hydrochloridum monohydricum 100 mg + Metformini hydrochloridum 1000 mg,100 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Metformax SR Combi,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 1000 mg,50 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Physiotens 0.4,Moxonidinum 0.4 mg,0.4 mg,Tabletki powlekane,Rp
Metformax SR Combi,Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 500 mg,50 mg + 500 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Metformax SR Combi,Sitagliptini hydrochloridum monohydricum 113.38 mg + Metformini hydrochloridum 1000 mg,100 mg + 1000 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Rixacam,Rivaroxabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Rixacam,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Rixacam,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
Rixacam,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Rivaroxaban APC,Rivaroxabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Zomiren SR,Alprazolamum 0.5 mg,0.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Betaloc,Metoprololi tartras 1 mg/ml,1 mg/ml,Roztwór do wstrzykiwań,Rp
Carzap,Candesartanum cilexetili 32 mg,32 mg,Tabletki,Rp
Rivaroxaban APC,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Rivaroxaban APC,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
Rivaroxaban APC,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Rivahib,Rivaroxabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Rivahib,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Rivahib,Rivaroxabanum 15 mg,15 mg,Tabletki powlekane,Rp
Rivahib,Rivaroxabanum 20 mg,20 mg,Tabletki powlekane,Rp
Sansik,Linagliptinum 5 mg,5 mg,Tabletki powlekane,Rp
Aboxoma,Apixabanum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Aboxoma,Apixabanum 5 mg,5 mg,Tabletki powlekane,Rp
Gribero,Dabigatranum etexilatum 75 mg,75 mg,Kapsułki twarde,Rp
Gribero,Dabigatranum etexilatum 110 mg,110 mg,Kapsułki twarde,Rp
Gribero,Dabigatranum etexilatum 150 mg,150 mg,Kapsułki twarde,Rp
Lesiplus,Drospirenonum 3 mg + Ethinylestradiolum 0.02 mg,3 mg + 0.02 mg,Tabletki powlekane,Rp
Tobrex,Tobramycinum 3 mg/ml,3 mg/ml,Krople do oczu. roztwór,Rp
Tiaprid PMCS,Tiapridum 100 mg,100 mg,Tabletki,Rp
Procto-Glyvenol,Tribenosidum 50 mg/g + Lidocaini hydrochloridum 20 mg/g,(50 mg + 20 mg)/g,Krem doodbytniczy,OTC
Stoperan Junior,Loperamidi hydrochloridum 0.2 mg/ml,0.2 mg/ml,Roztwór doustny,OTC
Pantoprazol Teva,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,OTC
Tobradex,Tobramycinum 3 mg/ml + Dexamethasonum 1 mg/ml,(3 mg + 1 mg)/ml,Krople do oczu. zawiesina,Rp
Otinum,Cholini salicylas 0.2 g/g,0.2 g/g,Krople do uszu. roztwór,OTC
Microgynon 21,Ethinylestradiolum 30 mcg + Levonorgestrelum 150 mcg,30 mcg + 150 mcg,Tabletki drażowane,Rp
